CURRENT CONGREGATION,ORIGINAL CONGREGATION,FULL ADDRESS,ZIP CODE,YEAR ORIGINAL BUILDING COMPLETED,CIRCA/PRE/POST,ORIGINAL ARCHITECT,Phila Register (Ind),Phila Register (District),National Register (Ind),National Register (District),NHL,HABS,DATE SOURCE,ARCHITECT SOURCE,CITY COUNCIL,PLANNING DISTRICT,SINGLE BUILDING/COMPLEX,ORIGINAL FAITH,CURRENT FAITH,ADD1,ADD1YR,ADD1ARCH,ADD2,ADD2YR,ADD2ARCH,ADD3,ADD3YR,ADD3ARCH,ARTISANS,EXTMAT1,EXTMAT2,NOTES,DEMOLITION PERMITS (SINCE 2006),CENSUS OF STAINED GLASS,COVENANT ON FILE,COOPERMAN INVENTORY,CHANGE IN FAITH/DENOMINATION,TAX PARCEL #,AKA ADDRESS,OWNER1,OWNER2,CENSUS,Geocode Address,FOR SALE/SOLD/CLOSED/VACANT,UNSAFE/IMM.DANG.,Icon
OFFICES,,1334 RISING SUN AVENUE,19140,,,,NO,NO,NO,NO,NO,NO,,,5,LOWER NORTH,,,ADAPTIVE REUSE,,,,,,,,,,,,,,,NO,NO,NO,,777289000,,TSOKAS MICHAEL D.M.D,,200,"1334  RISING SUN AVENUE Philadelphia, PA",,,small_red
FORMER CHRIST INDEPENDENT BAPTIST CHURCH,SAINT AMBROSE PROTESTANT EPISCOPAL CHURCH,114 W. ONTARIO STREET,19140,1904,CIRCA,"DUHRING, OKIE & ZEIGLER",NO,NO,NO,NO,NO,NO,PAB,,7,NORTH,,EPISCOPAL,N/A,,,,,,,,,,,BRICK,,,,NO,NO,NO,YES,777273000,HOWARD STREET,DRIDI REAL ESTATE INVESTM,,195,"114 W. ONTARIO STREET Philadelphia, PA",FOR SALE,,small_red
TOWER OF PENTECOST CHURCH OF GOD IN CHRIST,SAINT MATTHIAS CHURCH,7427-7487 BRIAR ROAD,19138,1939,,,NO,NO,NO,NO,NO,NO,,,9,UPPER NORTH,,,CHURCH OF GOD IN CHRIST (COGIC),,,,,,,,,,,SCHIST,,,,NO,NO,NO,,775082000,,TOWER OF PENTECOAST,CHURCH IN CHRIST,263,"7427  BRIAR ROAD Philadelphia, PA",,,small_red
FORMER OUR LADY OF VICTORY CATHOLIC CHURCH,OUR LADY OF VICTORY CATHOLIC CHURCH,224-250 N. 54TH STREET,19139,1909,,ROWLAND W. BOYLE,NO,NO,NO,NO,NO,NO,,,4,WEST,,ROMAN CATHOLIC,N/A,,,,,,,,,,D'ASCENZO STUDIOS,GRANITE,,,,YES,NO,NO,YES,774421000,5412 VINE STREET,ST JOSEPH'S BAPTIST CHURC,,94,"224 N. 54TH STREET Philadelphia, PA",CLOSED,,small_red
FORMER EMMANUEL LUTHERAN CHURCH,EMMANUEL LUTHERAN CHURCH,3727 BARING STREET,19104,1872,,,NO,NO,NO,POWELTON VILLAGE,NO,NO,,,3,UNIVERSITY/SOUTHWEST,,LUTHERAN,N/A,,,,,,,,,,,STONE,STUCCO,,,NO,NO,NO,YES,774072000,,ISEN NATHAN D,LESLIE BERMAN TRUST,91,"3727  BARING STREET Philadelphia, PA",FOR SALE,US,small_red
FORMER 40TH STREET METHODIST EPISCOPAL CHURCH,40TH STREET METHODIST EPISCOPAL CHURCH,125-129 S. 40TH STREET,19104,1872,,SLOAN & HUTTON,NO,NO,NO,NO,NO,NO,HSP,,3,UNIVERSITY/SOUTHWEST,,METHODIST,N/A,,,,,,,,,,,,,,DEM-COMPLETE,NO,NO,NO,YES,773266000,,125-29 S 40TH STREET ASSO,,88,"125 S. 40TH STREET Philadelphia, PA",FOR SALE,,small_red
BETHEL TEMPLE COMMUNITY BIBLE CHURCH,,228-234 E. ALLEGHENY AVENUE,19134,1942,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,7,NORTH,,,NON-DENOMINATIONAL,,,,,,,,,,,,,,,NO,NO,NO,,777058100,,BETHEL TEMPLE COMMUNITY,BIBLE CHURCH INC,176,"228 E. ALLEGHENY AVENUE Philadelphia, PA",,,small_red
FORMER SAINT BONIFACE CATHOLIC CHURCH,SAINT BONIFACE (BONIFASCIUS IN PAB?) CHURCH,142-174 W. DIAMOND STREET,19122,1872,,,NO,NO,ELIGIBLE,NO,NO,NO,PAB,,7,LOWER NORTH,COMPLEX,ROMAN CATHOLIC,N/A,CHANCEL LENGTHENED (PAB),1887,,ADDITIONS/ALTERATIONS (PAB),1897,ROWLAND W. BOYLE,,,,,BROWNSTONE,,,,YES,NO,NO,YES,777112000,,NORRIS SQUARE EDUCATIONAL,,157,"142 W. DIAMOND STREET Philadelphia, PA",CLOSED,,small_red
FORMER COMMUNITY OF JOY UNITED CHURCH OF CHRIST/TABOR UNITED CHURCH OF CHRIST,TABOR UNITED CHURCH OF CHRIST/TABOR REFORMED CHURCH,5700 N. FAIRHILL STREET,19120,1921,,,NO,NO,NO,NO,NO,NO,PCHP,,9,UPPER NORTH,,UNITED CHURCH OF CHRIST (UCC),N/A,,,,,,,,,,,SCHIST,LIMESTONE,,DEM-INTERIOR NON-LOAD BEARING,NO,NO,NO,YES,776141000,W. CHEW AVENUE,ALLEGHENY EAST CONFERENCE,,275,"5700 N. FAIRHILL STREET Philadelphia, PA",CLOSED,,small_red
FORMER EPISCOPAL CHURCH OF THE GOOD SHEPHERD,EPISCOPAL CHURCH OF THE GOOD SHEPHERD,2121-2127 E. CUMBERLAND STREET,19125,1889,,,NO,NO,NO,NO,NO,NO,COLLIERS,,1,RIVER WARDS,,EPISCOPAL,N/A,,,,,,,,,,,STONE,,,,NO,NO,NO,YES,777105000,,GRACE OF GOD CHURCH OF DE,,161,"2121 E. CUMBERLAND STREET Philadelphia, PA",SOLD,,small_red
COMMUNITY BAPTIST CHURCH,REFORMED CHURCH OF THE STRANGER,428 N. 40TH STREET,19104,1885,,,NO,NO,NO,NO,NO,NO,PUBLIC LEDGER ALMANAC (p. 17),,3,UNIVERSITY/SOUTHWEST,,,BAPTIST,,,,,,,,,,,BRICK,,,,NO,NO,NO,,774356000,,TR FOR THE COMM BAPT,CHURCH WEST PHILA INC,92,"428 N. 40TH STREET Philadelphia, PA",,,small_red
FORMER RESURRECTION EPISCOPAL CHURCH,RESURRECTION EPISCOPAL CHURCH,3301 WELLINGTON STREET,19149,1928,,,NO,NO,NO,NO,NO,NO,OPA,,6,NORTH DELAWARE,,EPISCOPAL,N/A,,,,,,,,,,,,,,DEM-REMOVE A / INSERT A TANK,NO,NO,NO,YES,778328000,,CHURCH OF GRACE TO FUJIAN,,315,"3301  WELLINGTON STREET Philadelphia, PA",SOLD,,small_red
FORMER MIZPAH SEVENTH DAY ADVENTIST CHURCH/FORMER FRANKFORD BAPTIST CHURCH,FRANKFORD BAPTIST CHURCH,4357 PAUL STREET,19124,1897,,CHARLES W. BOLTON,NO,NO,NO,NO,NO,NO,PAB,PAB,7,LOWER NORTHEAST,,BAPTIST,N/A,,,,,,,,,,,,,,,YES,NO,NO,YES,778252000,UNITY STREET,ALLEGHENY EAST CONFERENCE,,294,"4357  PAUL STREET Philadelphia, PA",SOLD,,small_red
FRANKFORD GROUP MINISTRY,CENTRAL UNITED METHODIST CHURCH,1515 ORTHODOX STREET,19124,1876,CIRCA,,NO,NO,NO,NO,NO,NO,CENSUS OF STAINED GLASS-PAB,,7,LOWER NORTHEAST,,METHODIST,METHODIST,SANCTUARY RENOVATION,1892,HAZLEHURST & HUCKEL,,,,,,,,MARBLE,,"EXTERIOR CHURCH WALL COLLAPSED ON AUGUST 16, 2011, DESTROYING THREE STAINED GLASS WINDOWS.",,YES,NO,NO,NO,778235000,4620 GRISCOM STREET,FRANKFORD GROUP MINISTRY,,301,"1515  ORTHODOX STREET Philadelphia, PA",UNSAFE?,,small_red
SAINT PHILIP�S MEMORIAL EPISCOPAL CHURCH,MEMORIAL CHAPEL OF THE HOLY COMMUNION,2633-2645 WHARTON STREET,19146,1889,,HEWITT BROS.,NO,NO,NO,NO,NO,NO,,,2,SOUTH,,,EPISCOPAL,,,,,,,,,,,MARBLE,,,,NO,NO,NO,,773173000,,CHURCH FOUNDATION IN TRUS,,20,"2633  WHARTON STREET Philadelphia, PA",,,small_red
CHURCH OF THE LIVING GOD,WEST MEMORIAL UNITED PRESBYTERIAN CHURCH,737-741 N. 43RD STREET,19104,1921,,G. HODGENS,NO,NO,NO,NO,NO,NO,PAB,"PHMC-PHC, CLIO",3,WEST,,PRESBYTERIAN,NON-DENOMINATIONAL,,,,,,,,,,,BRICK,,,,NO,NO,NO,YES,774376000,,HOUSE OF GOD WHICH,IS CHURCH OF TH,106,"737 N. 43RD STREET Philadelphia, PA",,,small_red
FIRST CHURCH WORSHIP CENTER,FIRST SCHWENKFELDER CHURCH,2913-2921 W. CUMBERLAND STREET,19132,1888,,,NO,NO,NO,NO,NO,NO,CORNERSTONE,,5,LOWER NORTH,,SCHWENKFELDER,NON-DENOMINATIONAL,,,,,,,,,,,GRANITE,CORRUGATED STEEL,,,NO,NO,NO,YES,775128000,N. 30TH STREET,1ST SCHWNKFLDR CHURCH,OF PHILA,169,"2913 W. CUMBERLAND STREET Philadelphia, PA",,,small_red
CHURCH OF CHRIST,ANGORA BAPTIST CHURCH,5531 WARRINGTON AVENUE,19143,1929,CIRCA,,NO,NO,NO,NO,NO,NO,PAB REF,,3,UNIVERSITY/SOUTHWEST,,BAPTIST,NON-DENOMINATIONAL,,,,,,,,,,,,,,,NO,NO,NO,YES,773164000,S. 56TH STREET,CHURCH OF CHRIST OF,PHILA,71,"5531  WARRINGTON AVENUE Philadelphia, PA",,,small_red
GREATER SAINT MATTHEW INDEPENDENT CHURCH,EPWORTH METHODIST CHURCH,5540-5546 RACE STREET,19139,1867,,,NO,NO,NO,NO,NO,NO,,,4,WEST,,METHODIST,NON-DENOMINATIONAL,,,,,,,,,,,GRANITE,,,,NO,NO,NO,YES,774289000,,MAHLON M LEWIS ETAL TRS,GREATER ST MATTHEW INDEP,94,"5540  RACE STREET Philadelphia, PA",,,small_red
CALVARY GOSPEL CHAPEL,GRACE PROTESTANT EPISCOPAL CHURCH,4115-4121 W. GIRARD AVENUE,19104,1912,CIRCA,EDGAR V. SEELER,NO,NO,NO,PARKSIDE,NO,NO,PHMC-PAB,PAB,3,WEST PARK,,EPISCOPAL,NON-DENOMINATIONAL,,,,,,,,,,,GRANITE,,,,NO,NO,NO,YES,774155000,,SAN HART,JOSEPH L GINYARD,110,"4115 W. GIRARD AVENUE Philadelphia, PA",,,small_red
HOLMESBURG BAPTIST CHURCH,HOLMESBURG BAPTIST CHURCH,7923 FRANKFORD AVENUE,19136,1867,,,NO,NO,NO,NO,NO,NO,"LOWER NORTHEAST PHILADELPHIA, P. 19 (IATAROLA)",,6,NORTH DELAWARE,,BAPTIST,BAPTIST,,,,,,,,,,,BROWNSTONE,,,,NO,NO,NO,NO,778160000,,HOLMESBURG BAPTIST,CHURCH,329,"7923  FRANKFORD AVENUE Philadelphia, PA",,,small_red
TEMPLE OF DIVINE LOVE INTERNATIONAL CHURCH,SPRING GARDEN UNITARIAN CHURCH,1518-1520 W. GIRARD AVENUE,19130,1910,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,5,LOWER NORTH,,UNITARIAN,NON-DENOMINATIONAL,,,,,,,,,,,GRANITE,,,,NO,NO,NO,YES,772134000,,TEMPLE OF DIVINE LOVE,,140,"1518 W. GIRARD AVENUE Philadelphia, PA",,,small_red
SAINT CALLISTUS CATHOLIC CHURCH,SAINT CALLISTUS CATHOLIC CHURCH,6700-6712 LANSDOWNE AVENUE,19151,1928,CIRCA,,NO,NO,NO,NO,NO,NO,PAB REF,,4,WEST,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,MICA,GRANITE,,,NO,NO,NO,NO,774231002,,BEVILACQUA ANTHONY CARDIN,,100,"6700  LANSDOWNE AVENUE Philadelphia, PA",,,small_red
COMMUNITY CHURCH OF GOD,JOHN WESLEY METHODIST CHURCH? GERMAN LUTHERAN CHURCH? (PAB),838 N. 42ND STREET,19104,1894,CIRCA,EMIL H.C. HARTMANN,NO,NO,NO,NO,NO,NO,PAB REF,PAB,3,WEST,,METHODIST,NON-DENOMINATIONAL,,,,,,,,,,,BRICK,,,,NO,NO,NO,YES,774371000,4201 PARRISH STREET,THE COMMUNITY CHURCH,OF GOD,107,"838 N. 42ND STREET Philadelphia, PA",,,small_red
FORMER FAITH UNITED CHURCH OF CHRIST,FAITH UNITED CHURCH OF CHRIST? REFORMED CHURCH ON MAP,7253-7265 OGONTZ AVENUE,19138,1930,,,NO,NO,NO,NO,NO,NO,MAPS SHOW CHURCH ON SITE BETWEEN 1910 AND 1942,,9,UPPER NORTH,,REFORMED/UNITED CHURCH OF CHRIST (UCC),N/A,,,,,,,,,,,SCHIST,,,,NO,NO,NO,NO,775260010,,MT CALVARY APOSTOLIC,CHURCH OF GOD INC,263,"7253  OGONTZ AVENUE Philadelphia, PA",FOR SALE,,small_red
GOOD SHEPHERD COMMUNITY CHURCH,LATTER DAY SAINTS CHURCH,314-316 S. 46TH STREET,19143,1930,POST,,NO,NO,NO,NO,NO,NO,PCHP,,3,UNIVERSITY/SOUTHWEST,,CHURCH OF JESUS CHRIST OF THE LATTER-DAY SAINTS,NON-DENOMINATIONAL,,,,,,,,,,,SCHIST,,1934 APPRAISAL MAP (JAN BREWER) DOES NOT SHOW BUILDING. 1942 LAND USE MAP (WPA) INCLUDES BUILDING ON SITE CALLED LATTER DAY SAINTS CHURCH.,,NO,NO,NO,YES,774383000,,GOOD SHEPHERD,COMMUNITY CHURCH INC,86,"314 S. 46TH STREET Philadelphia, PA",,,small_red
THIRD BRETHREN CHURCH,,210-214 E. TIOGA STREET,19134,1924,,,NO,NO,NO,NO,NO,NO,MAPS CONFIRM CHURCH BETWEEN 1910 AND 1942,,7,NORTH,,,AMERICAN BRETHREN,,,,,,,,,,,SCHIST,,,,NO,NO,NO,,777327000,,CHRISTIAN EDUCATION DEPT,NATL' FELLOWSHIP BRETHREN,195,"210 E. TIOGA STREET Philadelphia, PA",,,small_red
SEGUNDA IGLESIA BAUTISTA/SECOND SPANISH BAPTIST CHURCH,FRANKFORD BAPTIST CHURCH,4917 FRANKFORD AVENUE,19124,1911,,,NO,NO,NO,NO,NO,NO,,,7,LOWER NORTHEAST,,BAPTIST,BAPTIST,,,,,,,,,,,GRANITE,,,,NO,NO,NO,NO,778156000,,SECOND SPANISH BAPTIST CH,,300,"4917  FRANKFORD AVENUE Philadelphia, PA",,,small_red
IGLESIA METHODISTA UNIDA EL MESIAS,PROVIDENCE UNITED METHODIST CHURCH,3200-3210 N. FRONT STREET,19140,1916,,GEORGE E. SAVAGE,NO,NO,NO,NO,NO,NO,,,7,NORTH,,METHODIST,METHODIST,ADDITIONS/ALTERATIONS (PAB),1897,STEARNS & CASTOR,,,,,,,,,,,,NO,NO,NO,NO,777147000,,EL MESIAS UNITED METHODIS,,195,"3200 N. FRONT STREET Philadelphia, PA",,,small_red
LIVING WORD COMMUNITY,SECOND REFORMED PRESBYTERIAN CHURCH,142-146 N. 17TH STREET,19103,1890,CIRCA,UNKNOWN,NO,NO,NO,NO,NO,NO,SACRED SITES OF CENTER CITY (GALLERY),,5,CENTRAL,,PRESBYTERIAN,NON-DENOMINATIONAL,,,,,,,,,,,BROWNSTONE,BRICK,,,NO,NO,NO,YES,772268000,,THE LIVING WORD,COMMUNITY,3,"142 N. 17TH STREET Philadelphia, PA",,,small_red
GREATER CHURCH TRAINING CENTER OF PHILADELPHIA,ALLEGHENY AVENUE BAPTIST CHURCH,2017-2023 E. ALLEGHENY AVENUE,19134,1897,CIRCA,STEARNS & CASTOR,NO,NO,NO,NO,NO,NO,PAB REF,PAB REF,8,RIVER WARDS,SINGLE,BAPTIST,NON-DENOMINATIONAL,,,,,,,,,,,BRICK,STUCCO,,,NO,NO,NO,YES,777061000,,GREATER CHURCH OF,,188,"2017 E. ALLEGHENY AVENUE Philadelphia, PA",,US,small_red
SANCTUARY CHURCH OF THE OPEN DOOR,RICHARDSON MEMORIAL PRESBYTERIAN CHURCH,5923 WALNUT STREET,19139,1912,,CHARLES W. BOLTON & SON,NO,NO,NO,NO,NO,NO,,,3,WEST,,PRESBYTERIAN,NON-DENOMINATIONAL,,,,,,,,,,,,,,,NO,NO,NO,YES,774319000,,THE SANCTUARY CHURCH,OF THE OPEN DOOR,83,"5923  WALNUT STREET Philadelphia, PA",,,small_red
MEMORIAL GOSPEL CRUSADES CHURCH,SYNAGOGUE,6224-6230 MARKET STREET,19139,1926,,ANDREW J. SAUER,NO,NO,NO,NO,NO,NO,,,3,WEST,,JUDAISM,NON-DENOMINATIONAL,,,,,,,,,,,BRICK,,,,NO,NO,NO,YES,774253000,11 S. 63RD STREET,MEMORIAL GOSPEL,CRUSADERS CHURCH,83,"6224  MARKET STREET Philadelphia, PA",,,small_red
CRUSADERS FOR CHRIST EVANGELICAL CHURCH,FOURTH PRESBYTERIAN CHURCH OF KINGSESSING,1201 S. 47TH STREET,19143,1891,CIRCA,EDWARD P. HAZLEHURST (HAZLEHURST & HUCKEL),NO,NO,NO,NO,NO,NO,PRESBYTERIAN CHURCH IN PHILADELPHIA (WHITE & SCOTT),PAB,3,UNIVERSITY/SOUTHWEST,,PRESBYTERIAN,NON-DENOMINATIONAL,,,,,,,,,,,,,,,YES,NO,NO,YES,773270000,,CRUSADERS FOR CHRIST,EVANGELISTIC CHURCH INC,74,"1201 S. 47TH STREET Philadelphia, PA",,,small_red
SOCIETY FOR HELPING CHURCH,EVANGELICAL LUTHERAN CHURCH OF THE APOSTLE,2210 N. PARK AVENUE,19132,1925,CIRCA,,NO,NO,NO,NO,NO,NO,OPA,,5,LOWER NORTH,,LUTHERAN,NON-DENOMINATIONAL,,,,,,,,,,,,,,,NO,NO,NO,YES,882922315,1323 W. SUSQUEHANNA AVENUE,SOCIETY FOR HELPING INC,,166,"2210 N. PARK AVENUE Philadelphia, PA",,,small_red
HOPE CHRISTIAN TABERNACLE,MOUNT TABOR AFRICAN METHODIST EPISCOPAL CHURCH,2222 W. MASTER STREET,19121,,,,NO,NO,NO,NO,NO,NO,,,5,LOWER NORTH,,AFRICAN METHODIST EPISCOPAL,NON-DENOMINATIONAL,,,,,,,,,,,BRICK,,,,NO,NO,NO,YES,772169000,,HOPE CHRISTIAN TABER,,139,"2222 W. MASTER STREET Philadelphia, PA",,,small_red
HOLY REDEEMER CHINESE CATHOLIC CHURCH AND SCHOOL,HOLY REDEEMER CHINESE CATHOLIC CHURCH AND SCHOOL,903-927 VINE STREET,19107,1941,,HENRY D. DAGIT & SONS,NO,NO,NO,NO,NO,YES,PAB,,1,CENTRAL,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,BRICK,SANDSTONE,,,NO,NO,NO,NO,771172010,,HIS EMINENCE,ANTHONY J BEVILACQUA,127,"903  VINE STREET Philadelphia, PA",,,small_red
RESURRECTION LIFE CHURCH,NATIVITY LUTHERAN CHURCH,3501-3505 N. 17TH STREET,19140,1913,CIRCA,CARL P. BERGER,NO,NO,NO,NO,NO,NO,PAB REF,,8,UPPER NORTH,,LUTHERAN,NON-DENOMINATIONAL,,,,,,,,,,,GRANITE,TERRA COTTA,,,NO,NO,NO,YES,776346020,,ACTS ASSEMBLY OF GOD,,201,"3501 N. 17TH STREET Philadelphia, PA",,,small_red
NEW TESTAMENT CHURCH,SAINT NATHANIEL'S PROTESTANT EPISCOPAL CHURCH,541-551 E. ALLEGHENY AVENUE,19134,1909,CIRCA,THOMAS C. MOLITOR,NO,NO,NO,NO,NO,NO,PAB,PAB,7,NORTH,COMPLEX,EPISCOPAL,NON-DENOMINATIONAL,PARISH HOUSE (PAB),1915,,,,,,,,,GRANITE,,,,YES,NO,NO,YES,777060000,E STREET,NEW TESTAMENT MINISTRIES,,177,"541 E. ALLEGHENY AVENUE Philadelphia, PA",,,small_red
CHURCH OF PRAISE AND WORSHIP,TAYLOR MEMORIAL METHODIST PROTESTANT CHURCH,641-651 W. HUNTING PARK AVENUE,19140,1942,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,7,NORTH,,METHODIST,NON-DENOMINATIONAL,,,,,,,,,,,,,,,NO,NO,NO,YES,777202005,,CHURCH OF PRAISE AND,WORSHIP,197,"641 W. HUNTING PARK AVENUE Philadelphia, PA",,,small_red
BETHEL UNITED CHURCH OF CHRIST,SALEM ZION UNITED CHURCH OF CHRIST,6101 N. MASCHER STREET,19120,,,,NO,NO,NO,NO,NO,NO,,,9,UPPER NORTH,,UNITED CHURCH OF CHRIST (UCC),UNITED CHURCH OF CHRIST (UCC),,,,,,,,,,,BRICK,,,,NO,NO,NO,NO,776206000,,PENNSYLVANIA SOUTHEAST CO,,273,"6101 N. MASCHER STREET Philadelphia, PA",,,small_red
FIRST HISPANIC CHRISTIAN CHURCH DISCIPLES OF CHRIST/IGLESIA CRISTIANA DISCIPLOS DE CRISTO,GERMAN EVANGELICAL LUTHERAN CHURCH,1924 E. CLEARFIELD STREET,19134,1910,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,1,NORTH,,LUTHERAN,NON-DENOMINATIONAL,,,,,,,,,,,,,,,NO,NO,NO,YES,777101000,,CHRISTIAN CHURCH DISCIPLE,,178,"1924 E. CLEARFIELD STREET Philadelphia, PA",,,small_red
EMMANUEL CHAPEL,SAINT PETER'S ENGLISH EVANGELICAL LUTHERAN CHURCH,835 REED STREET,19147,1882,CIRCA,,NO,NO,NO,NO,NO,NO,PHMC-PAB,,1,SOUTH,,LUTHERAN,NON-DENOMINATIONAL,,,,,,,,,,GROVES & STEIL,,,,,NO,NO,NO,YES,771157000,,EMANUEL ORTHODOX PRESBYTE,,28,"835  REED STREET Philadelphia, PA",,,small_red
CORNERSTONE COMMUNITY CHURCH,ALLEGHENY AVENUE CHURCH,3167 FRANKFORD AVENUE,19134,1899,CIRCA,STEARNS & CASTOR,NO,NO,NO,NO,NO,NO,PAB,,1,RIVER WARDS,,BAPTIST,NON-DENOMINATIONAL,,,,,,,,,,,,,,,NO,NO,NO,YES,777134000,ALLEGHENY AVENUE,CORNERSTONE COMMUNITY CHU,,178,"3167  FRANKFORD AVENUE Philadelphia, PA",,,small_red
OPEN HEART MINISTRIES,BETH HAMREDOSH/BETH JACOB SYNAGOGUE,6018-6022 LARCHWOOD AVENUE,19143,1932,,I. LEVIN?,NO,NO,NO,NO,NO,NO,PHMC,,3,WEST,,JUDAISM,NON-DENOMINATIONAL,,,,,,,,,,,BRICK,,,,NO,NO,NO,YES,774237000,,OPEN HEART MINISTRIES,INTERNATIONAL,83,"6018  LARCHWOOD AVENUE Philadelphia, PA",,,small_red
INDIA HARVEST CHURCH,TACONY METHODIST EPISCOPAL CHURCH,4800 LONGSHORE AVENUE,19135,1895,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,6,NORTH DELAWARE,,METHODIST EPISCOPAL,NON-DENOMINATIONAL,,,,,,,,,,,,,,,NO,NO,NO,YES,778222000,HEGERMAN ST,LOGOS FOUNDATION,,325,"4800  LONGSHORE AVENUE Philadelphia, PA",,,small_red
CHRISTIAN HERITAGE CATHOLIC CHURCH,PRESBYTERIAN CHURCH,6431-6439 CALLOWHILL STREET,19151,1910,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,4,WEST,,PRESBYTERIAN,NON-DENOMINATIONAL,,,,,,,,,,,,,,,NO,NO,NO,YES,774083000,400 N. SIMPSON STREET,CHRISTIAN HERITAGE CATHOL,,100,"6431  CALLOWHILL STREET Philadelphia, PA",,,small_red
WOODLAND BAPTIST CHURCH,WOODLAND BAPTIST CHURCH,2210 S. 65TH STREET,19142,1942,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,2,LOWER SOUTHWEST,,BAPTIST,BAPTIST,,,,,,,,,,,,,,,NO,NO,NO,NO,773285000,,CHRIST INTERNATIONAL BAPT,,63,"2210 S. 65TH STREET Philadelphia, PA",,US,small_red
HOLY INNOCENTS CATHOLIC CHURCH,HOLY INNOCENTS CATHOLIC CHURCH,4213-4217 GLENDALESTREET,19124,1958,,,NO,NO,NO,NO,NO,NO,"OUR FAITH-FILLED HERITAGE, P. 149",,7,NORTH,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,,,,,NO,NO,NO,NO,777188305,1337 E. HUNTING PARK AVENUE,ARCHBISHOP OF PHILA,HOLY INNOCENTS CHURCH,190,"4213  GLENDALE STREET Philadelphia, PA",,,small_red
FAITH INDEPENDENT BAPTIST CHURCH,,3215-3217 S. 22ND STREET,19145,1895,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,2,LOWER SOUTH,,,BAPTIST,,,,,,,,,,,WOOD,,,,NO,NO,NO,,882935765,,3154 PENROSE ASSOCIATES L,,46,"3215 S. 22ND STREET Philadelphia, PA",,,small_red
ABIDING TRUTH MINISTRIES,NINTH PRESBYTERIAN CHURCH,5701 WASHINGTON AVENUE,19143,1916,,GEORGE D. SAVAGE,NO,NO,NO,NO,NO,NO,"PHMC-PHC, CLIO","PHMC-PHC, CLIO",3,WEST,,PRESBYTERIAN,NON-DENOMINATIONAL,,,,,,,,,,,GRANITE,LIMESTONE,,,NO,NO,NO,YES,774325050,842 S. 57TH STREET (PARCEL EXPLORER); 846 S. 57TH STREET,ABIDING TRUTH MINISTRIES,,81,"5701  WASHINGTON AVENUE Philadelphia, PA",,,small_red
SHERWOOD CHRISTIAN OUTREACH CENTER,,5543 WILLOWS AVENUE,19143,1925,,,NO,NO,NO,NO,NO,NO,,,3,UNIVERSITY/SOUTHWEST,,,N/A,,,,,,,,,,,,,,,NO,NO,NO,,513206912,,SHERWOOD DAY CARE,CENTER INC,72,"5543  WILLOWS AVENUE Philadelphia, PA",,,small_red
GRACE TRINITY UNITED CHURCH OF CHRIST,FRANKFORD CONGREGATIONAL UNITED CHURCH OF CHRIST,5200-5248 OXFORD AVENUE,19124,1928,,,NO,NO,NO,NO,NO,NO,PCHP,NO PAB REF,7,LOWER NORTHEAST,,UNITED CHURCH OF CHRIST (UCC),UNITED CHURCH OF CHRIST (UCC),,,,,,,,,,,BRICK,WOOD,,,NO,NO,NO,NO,778239048,,GRACE-TRINITY,UNITED CHURCH,302,"5200  OXFORD AVENUE Philadelphia, PA",,,small_red
"SAINT THOMAS UNITED METHODIST CHURCH, FRANKFORD",SAINT THOMAS METHODIST CHURCH,4701 TACKAWANNA STREET,19124,1910,CIRCA,,NO,NO,NO,NO,NO,NO,COOPERMAN,,7,LOWER NORTHEAST,,METHODIST,METHODIST,,,,,,,,,,,BRICK,,,,NO,NO,YES,NO,778297000,,ST THOMAS ME CHURCH OF,FRANKFORD,299,"4701  TACKAWANNA STREET Philadelphia, PA",,,small_red
OASIS CITY CHURCH,LINDLEY UNITED METHODIST CHURCH,5248 N. 5TH STREET,19120,1923,,,NO,NO,NO,NO,NO,NO,,,9,UPPER NORTH,,METHODIST,NON-DENOMINATIONAL,,,,,,,,,,,SCHIST,CAST STONE,,,NO,NO,NO,YES,776312000,,OASIS TABERNACLE ASSEMBLY,,285,"5248 N. 5TH STREET Philadelphia, PA",,,small_red
WISSINOMING BIBLE FELLOWSHIP,MENNONITE BRETHREN IN CHRIST,4414-4416 VAN KIRK STREET,19135,1922,,,NO,NO,NO,NO,NO,NO,,,6,NORTH DELAWARE,,MENNONITE,NON-DENOMINATIONAL,,,,,,,,,,,BRICK,,,,NO,NO,NO,YES,778315000,,WISSINOMING BIBLE FELLOWS,,319,"4414  VAN KIRK STREET Philadelphia, PA",,,small_red
